1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
1 2 3 4
5 6 7 8
10 40 80 90
45 67 78 90
56 98 12 56
1 3 5 7
0 6 4 1
5 7 9 1
3 0 12 67
10 20 30 40
